title,body_text,image_url
Google、生成AI「Gemini」に最新モデル思考力を向上,【シリコンバレー=清水孝輔】米グーグルは25日、生成AI（人工知能）の最新の基盤モデル「Gemini（ジェミニ）2.5」を開発したと発表した。従来のモデルに比べ、順序立てて答えを導く論理的な思考力を高めた。論理思考モデルに注力する米オープンAIや中国の新興企業DeepSeek（ディープシーク）に対抗する。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6177494025032025000000-2.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.42&fp-y=0.64&fp-z=1&crop=focalpoint&s=27b477a22390b08782d3e32ed547bf64
富士通、5年でグループ40社を再編ITサービスにシフト,「2025年の崖」対応やデジタルトランスフォーメーション （DX）の推進、自治体システム標準化――。25年以降も国内のIT（情報技術）需要を後押しする要因は多くある。調査会社のIDCジャパンが25年1月に発表した予測によれば、25年の国内IT市場規模は前年比8.2%増の26兆6412億円を見込む。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6111152011032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=3a0457bb28841ee9cfddb586f8e9bd51
JICの「寿命」2050年まで延期半導体再編にINCJの教訓,INCJ（旧産業革新機構）を継いだ産業革新投資機構（JIC）は2024年、運用期限を当初の34年から50年まで延長することが決まった。時限的な機関とすることで財政規律を担保する官民ファンドとしては異例の長期運用だ。足元の最大のミッションは半導体産業の業界再編だ。INCJの教訓をどう継承するかが問われている。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6136890017032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=06d950acc31648fc6b2989ce62aff927
エイベックス、米マネジメント会社を子会社化海外注力,エイベックスは25日、米国でアーティストのマネジメントを手掛けるS10 Entertainment & Media LLC（エステン）を2月に子会社化したと発表した。4月1日付で組織再編も行い、アーティストの海外進出を円滑にする。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6176519025032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=227895e2990ade92b667850aaa3711b4
サイバー、オラクルと組みAIエージェント提供,サイバーエージェントは25日、具体的な指示がなくても自律的に作業して業務を効率化する「AIエージェント」を構築する企業向けのプラットフォームの提供を始めると発表した。日本オラクルと組み、企業内データを効率的に活用できる体制を整える。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6173357025032025000000-2.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.59&fp-y=0.29&fp-z=1&crop=focalpoint&s=731bbeed1fefe63544b340fa63917f1e
NTTコム、低価格のローカル5Gドコモの通信設備活用,NTTコミュニケーションズ（コム）は25日、特定区域での高速通信規格「ローカル5G」の低価格サービスを始めたと発表した。NTTドコモの通信設備を活用することで、設備構築などの負担を減らした。企業が導入するハードルを下げ、ローカル5G事業を拡大する。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6170376023032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=7bbd03fba306e2e8bb204e0c558bf686
IoTのサイバー対策を4段階格付け経産省が新制度開始,経済産業省は25日、ネットにつながる「IoT」機器のサイバーセキュリティー対策の度合いを格付けする新制度を始めたと発表した。「JC-STAR」と呼ぶ制度で、Wi-Fiルーターなどのサイバー対策を4段階で評価する。製品のパッケージなどに表示され、消費者は安全性能を把握できる。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6176234025032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=650ea49c6963cfa360eb07f558ea7e84
VPJ上場三村社長「コンテンツ管理、EC拡大が追い風」,写真や動画などのデジタル資産や商品情報を一元管理できるシステムを提供するビジュアル・プロセッシング・ジャパン（東京・渋谷）が25日、東証グロース市場に上場した。初値は公開価格（1430円）の2.1倍の3040円を付けた。終値は2345円だった。同日、東証で記者会見した三村博明社長は「上場で信用を得て新しい市場を開拓する」と話した。主なやりとりは以下の通り。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6175710025032025000000-2.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.52&fp-y=0.27&fp-z=1&crop=focalpoint&s=1fbb66481d66c3cffcfecc668aaa10df
三菱商事、JFE高炉跡地にデータセンター1500億円投資,三菱商事はJFEホールディングス（HD）と組み、川崎市の高炉跡地にデータセンター（DC）を2030年度にも建設する。高性能半導体を搭載したサーバーを大量に運用し、生成人工知能（AI）向けなどの需要増に対応する。総事業費は1000億〜1500億円とみられる。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6165864023032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=a45fc9cd387db9c337c24f432b2cf698
富士ソフト、5月16日に上場廃止創業家も一転賛同へ,富士ソフトは25日、米投資ファンドのKKRの傘下に入ったことを受け、5月16日に上場廃止になる予定だと発表した。4月25日に開く臨時株主総会で、少数株主から株式併合で株式を買い上げるスクイーズアウト（強制買い取り）を決議する。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO6174755025032025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=d1abdeb12ef5f45cd786d31a34ef3dff
