,articles,published,title
0,"Mit dem HPE Aruba Networking Virtual Intranet Access (VIA) Client unter iOS, Linux, macOS und Windows erstellte VPN-Verbindungen sind nicht sicher. Der Android-Client ist davon nicht betroffen. Für d… [+743 chars]",2025-04-02T08:11:00Z,VPN-Lücken in HPE Aruba Networking Virtual Intranet Access Client geschlossen
1,"Hewlett Packard Enterprise e Nvidia hanno annunciato una collaborazione innovativa per offrire soluzioni di intelligenza artificiale di livello enterprise, progettate per accelerare l'adozione e l'im… [+3795 chars]",2025-03-20T08:55:00Z,Hewlett Packard Enterprise: nuove soluzioni enterprise di AI basate su Nvidia
2,"<ul><li>Nvidia’s DGX Spark, once called Project Digits, is a tiny AI supercomputer </li><li>Built on GB10, is delivers 1000 TOPS and 200B parameter support </li><li>Dell, HPE, and Asus will offer GB1… [+2607 chars]",2025-03-22T12:26:00Z,"Project Digits is now DGX Spark: Nvidia raises its price by 33% as HPE, Dell jump on Petaflop mini AI bandwagon"
3,". LTO   , 15 , - , . - . , , LTO, . , on-premise, , .
, 2022- LTO 14% , . LTO-10 , NVME.
 LTO
 . 1951 . LTO   1998 . : IBM, Hewlett-Packard Quantum Corporation (Seagate Technology -, , ).
 11. - … [+1188 chars]",2025-03-25T06:56:44Z,"LTO снова в моде. Чего ждать от нового, десятого поколения лент"
4,"IAHPE ProLiant Compute Gen12ProLiantCompaq1993Gen12AIGPUHPE ProLiant Compute DL384 Gen122024HPE ProLiant Compute DL380a Gen1220241
TCOSMB2025232025
ProLiantPCRAIDSilicon Root of TrustProLiantIT
Ge… [+195 chars]",2025-03-28T07:31:00Z,HPE、次世代サーバーのラインアップを解説--セキュリティや電力効率強化
5,"HPE ha potenziato il suo portafoglio di soluzioni per lo storage, annunciando un nuovo data layer unificato che integra dati strutturati e non strutturati e che permetterà di accelerare il ciclo di v… [+3861 chars]",2025-03-26T15:32:29Z,HPE amplia la collaborazione con NVIDIA e rende disponibile un nuovo data layer progettato per l'IA
6,"US President Donald Trump has imposed a ten percent tariff on nearly all types of imports into America, and higher levies on goods from major producers of digital tech, such as China, South Korea, an… [+2949 chars]",2025-04-02T23:09:03Z,Americans set to pay more on nearly all imports: Trump activates broad tariffs
7,"Online-Angebote wie X und YouTube, soziale Netzwerke wie Instagram und TikTok sowie Messenger wie WhatsApp und Telegram sind in der Türkei nur noch stark eingeschränkt verfügbar. Anlass dürften Prote… [+5367 chars]",2025-03-20T05:15:00Z,"Donnerstag: Online-Beschränkungen in der Türkei, EU-Kommission kritisiert Google"
8,"IDC , $77,3 . 91 % 2019 , Nvidia GPU 90 % .
: Samsung Electronics
: x86- 59,9 % $54,8 , 262,1 % $22,5 . GPU 192,6 %, 2024 . GPU 2020 2024 $235,7 .
, ( 118,4 %), 56 % . , , 93,3 %.
 Dell Technolog… [+100 chars]",2025-03-21T07:20:00Z,Мировая выручка от продаж серверов почти удвоилась — в основном стараниями Nvidia
9,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]",2025-03-26T12:17:00Z,"Tech layoffs 2025 March update: Block, HelloFresh, HPE, TikTok, Wayfair among companies cutting jobs"
10,"Lightmatter — 3D co-packaged optics (CPO) Passage L200, GPU XPU, , - GPU, .
L200 3D CPO 32 (L200) 64 / (L200X), 5–10 . L200 64 / GPU , 200 / I/O, - 8 .
 : Lightmatter
, . , , , .
SiliconANGLE Lig… [+554 chars]",2025-04-02T17:32:00Z,Lightmatter анонсировала оптический интерконнект CPO Passage L200 и фотонный 3D-суперчип Passage M1000
11,"Spolenost Hewlett Packard Enterprise na eském trhu zaíná nabízet vlastní konkurenci pro virtualizaci od dominantní spolenosti VMware. Jde o hypervisor VM Essentials postavený na KVM.
HPE vývojem vir… [+1149 chars]",2025-03-20T07:00:40Z,HPE v ČR začíná prodávat vlastní konkurenci pro VMware. Chce využít rapidního zdražování
12,"Fwupd 2.0.7 brings the newest plug-ins and expanded hardware support for being able to update a variety of system and device/peripheral firmware under Linux.
Richard Hughes of Red Hat just released … [+837 chars]",2025-03-25T16:40:29Z,Fwupd 2.0.7 Released With New Plug-Ins & Additional Hardware Support
13,"20
Donald TrumpNvidiaGTC
CNBC
CNBC
321BlackwellRubin
Intel
GTC
NvidiaGTCNSYNCBye Bye Byebuy10
7GTCHewlett Packard EnterpriseHPEAntonio Neri
Photo Credit: 
18GTCJensen  114319
NSYNC2000Bye … [+145 chars]",2025-03-20T01:39:00Z,黃仁勳GTC大會談關稅影響：本土製造對保持靈活性很重要，台灣企業是世界級夥伴
14,"IT ( )DB( DB) AI 1 .
 DB 11 AI , HPE .
 DB , (RAG), AI .
 AI , DRM AI SaaS .
 1 HPE PCAI(Private Cloud AI) , DB AI , .
 AI HPE (Ezmeral) (EzPipeline) (FRDY) , LLMOps AI .
HPE AI AI HPE Private … [+8177 chars]",2025-03-24T00:57:25Z,"한국정보공학, DB생명 ‘생성형 AI 기반 챗봇 서비스’ 구축 사업 추진"
15,"A Mitsubishi oferece, em março de 2025, condições especiais para PCD nas versões Rush e HPE. Segundo o site Mundo do Automóvel para PCD, por ter preço abaixo de R$ 200 mil, o modelo se enquadra na ve… [+1562 chars]",2025-03-25T12:34:50Z,"PCD: Eclipse Cross tem desconto de até R$ 20,4 mil em março; confira"
16,"HPE (AI) AI .
HPE (NVIDIA) (Generative)·(Agentic)·(Physical) AI AI 24 .
HPE 'HPE AI ((NVIDIA AI Computing by HPE)' , , AI AI . HPE AI ·· .
 HPE AI (NVIDIA AI Data Platform) HPE AI(HPE Private Clou… [+491 chars]",2025-03-24T05:58:28Z,"""에이전틱·피지컬 AI 가속화""…HPE-엔비디아, 신규 엔터프라이즈 AI 솔루션 발표"
17,"Nvidia GTC (GPU Technology Conference) 2025 is taking place this week in San Jose, Calif., and the giant chip manufacturer has unveiled a range of AI capabilities across a range of industries, with m… [+3755 chars]",2025-03-20T04:01:00Z,The Rundown: Nvidia’s GTC showcases new AI capabilities that span many industries
18,"DeepSeek, , . Seeking Alpha HPE (Antonio Neri) , DeepSeek.
 , , . , HPE, . HPE NVIDIA, .",2025-03-30T05:20:00Z,"Глава HPE убеждён, что эффект DeepSeek не снизит спрос на серверы для ИИ"
19,"<ul><li>HPE Alletra Storage MP X10000
</li><li>HPE Alletra Storage MP B10000Microsoft Azure
</li></ul>HPENVIDIA GTCAINVIDIAHPE GreenLake
HPEAINVIDIA AI Data PlatformAIAI
HPECTOFidelma Russo
AIHP… [+1342 chars]",2025-03-27T08:40:02Z,HPE、エージェンティックAIの時代をインテリジェントで統合されたAIのためのデータレイヤーで促進
20,"HPE (AI) AI, .
HPE (NVIDIA) 20 .
 HPE AI , AI , 'AI- ' .
HPE MP X10000(=HPE)
AI (NVIDIA AI Data Platform) AI .
AI , AI HPE AI AI . AI AI .
HPE . HPE HPE MP X10000 AI . AI .
HPE . HPE MP B10000… [+125 chars]",2025-03-20T08:37:52Z,"HPE, 인텔리전트 통합 데이터 레이어 공개…에이전틱 AI 시대 선도"
